frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
407,1,[121.84732435897816 61.38253224930931 343.0498939568319 230.30967109272558],[182 140 250 156],0.861265481,02너1236,0.9762
408,1,[121.39738371923897 61.26722861760918 342.88735498315543 231.44984173687277],[182 141 250 156],0.856707752,02너1236,0.9929
410,1,[119.29955051058054 61.3576038637912 340.89597720216295 231.5791034890683],[182 142 251 157],0.856244206,02너1236,0.9209
411,1,[118.88473574695416 61.159293626120316 340.9823269341195 232.9285942785461],[182 142 251 157],0.856557727,02너1236,0.9913
412,1,[118.40195284690527 60.79731439619816 340.8625397317816 232.60897515500267],[182 142 251 157],0.858795702,02너1236,0.9956
413,1,[117.46987165715444 60.854130614450455 340.79206326795304 232.14665115485263],[182 142 251 157],0.859956145,02너1236,0.9631
414,1,[116.94645965840732 60.71782186706845 340.96488128705914 231.62763782763176],[182 142 251 157],0.859628677,02너1236,0.9948
415,1,[116.24885046994211 60.804776662421716 340.3836502921151 231.16043971072344],[181 143 251 158],0.861897528,02너1236,0.9807
416,1,[115.676666957421 60.699511261436754 339.5616929643444 230.61847695657642],[181 143 251 159],0.869320035,02너1236,0.9953
417,1,[115.5764719259023 60.806848971966346 338.6526022711882 230.13988051578576],[180 143 252 159],0.874471903,02너1236,0.9855
418,1,[115.74550138765358 60.89962156172041 338.1358498853402 230.05897045550378],[180 143 252 159],0.872689188,02너1236,0.9671
422,1,[115.15430297716729 61.73474926702599 336.8888085386611 228.23199446376927],[179 143 252 161],0.881858349,02너1236,0.9248
423,1,[114.99560953437634 61.87998411734681 336.9225164739156 228.0953629093848],[179 143 252 161],0.881395996,02너1236,0.9429
424,1,[114.96618485941933 61.93818694800012 336.9668194563396 228.04357237501762],[179 144 252 161],0.87882024,02너1236,0.9938
426,1,[113.35813266195842 61.96879072050751 336.67470984905606 228.02218065441912],[179 144 253 161],0.873774588,02너1236,0.9682
427,1,[113.06717606622807 61.97076933369078 336.8433526760136 228.02255145434174],[179 144 253 161],0.873116374,02너1236,0.984
428,1,[112.98230907227507 62.18590935210901 336.9450748998682 228.70916605086134],[179 145 252 161],0.869513929,02너1236,0.9945
429,1,[112.05165783127853 62.06196754802686 336.099379866261 228.9698573490893],[178 145 252 161],0.870365262,02너1236,0.9122
430,1,[112.81382152039717 62.00401505412661 336.88320535396895 229.01948951584131],[178 145 253 161],0.868961275,02너1236,0.9917
431,1,[112.95725451691473 62.19934145724933 337.0396657191351 229.7164492390993],[179 144 252 161],0.868714869,02너1236,0.9887
432,1,[112.95964443532982 62.531138283796025 337.042622094913 230.16752275691127],[178 145 252 162],0.86610502,02너1236,0.9887
433,1,[112.76953551900235 62.675900319229044 336.57894733320927 230.38891456219446],[178 145 252 161],0.8668046,02너1236,0.9927
434,1,[112.86696798539174 61.939503974715095 336.0987841036921 230.44879710000845],[178 145 252 162],0.867487073,02너1236,0.9911
435,1,[113.12866257034696 62.57472234648276 336.5015499087432 230.72109105433543],[179 145 252 162],0.860960424,02너1236,0.9939
436,1,[113.0267366694731 62.99541378253238 336.99434205423944 231.06428340007042],[178 146 252 162],0.860948145,02너1236,0.9958
437,1,[112.98419645639514 63.18206293828135 337.0307551742857 231.51254381793026],[178 147 252 163],0.862627566,02너1236,0.9953
438,1,[112.7519028077457 63.054634536489075 336.3562787705303 232.0017319381862],[178 147 251 163],0.861361384,02너1236,0.9908
439,1,[112.84817991417565 63.66904756726298 336.12416695822753 232.679497297456],[178 148 251 164],0.858367741,02너1236,0.9815
440,1,[111.552052362639 64.92441332449467 335.6236490619156 233.97160255943362],[178 148 252 164],0.854688942,02너1236,0.9625
442,1,[110.06238728717727 65.11998180502432 335.8351422576673 233.85926357846716],[178 149 250 163],0.861466527,02너1236,0.992
443,1,[109.96088941571334 65.05285469105537 335.9645371001851 234.02978619521383],[178 149 250 163],0.861724436,02너1236,0.9884
444,1,[108.56824967246027 65.00300227900482 335.5816919858206 234.0543825299378],[177 149 249 163],0.867458999,02너1236,0.9921
445,1,[107.91500978119645 64.98665008007058 335.3275683212258 234.05585001861337],[176 149 249 163],0.868769765,02너1236,0.9883
446,1,[107.84907542154598 64.97847049341915 335.03579704744493 234.04996760315237],[176 149 249 163],0.86797744,02너1236,0.9869
447,1,[107.90179988348707 64.2874583009582 335.02299100657206 233.82973356285456],[176 149 249 163],0.868185341,02너1236,0.9859
448,1,[107.23296112399262 64.02254052176478 334.81665215280077 233.95384223991977],[176 149 249 163],0.867506385,02너1236,0.9948
450,1,[107.52584849242531 63.96813637589243 334.2818555677333 234.0170798626762],[175 149 249 163],0.863091826,02너1236,0.996
451,1,[108.88214249706128 64.15304519217193 335.07651862413053 234.83049405511412],[175 149 249 163],0.863834262,02너1236,0.9935
452,1,[108.97061205981402 63.60902776540702 335.08033102223914 233.6190734557963],[175 149 248 163],0.866695166,02너1236,0.9959
453,1,[109.67137411306528 63.60532993662869 335.26443066696316 232.4440641386913],[175 149 248 163],0.863274932,02너1236,0.9874
454,1,[109.93631519338938 63.837714925142734 335.12279743142966 232.0889017910804],[175 149 248 163],0.865421653,02너1236,0.9967
455,1,[109.9903098503151 63.9438045805571 335.04749960088463 232.00966327753738],[175 149 248 163],0.864919424,02너1236,0.9954
456,1,[109.09651789896368 64.86911700483681 334.1287645405829 232.8997636788813],[175 149 247 163],0.86478889,02너1236,0.9965
459,1,[108.59029113141233 63.97212238701516 333.6050991539993 231.98837846423655],[174 149 246 162],0.861940265,02너1236,0.9857
460,1,[108.0913016054497 62.9818188236781 333.83548539484434 231.00407263795603],[174 148 246 162],0.864994526,02너1236,0.9312
461,1,[108.81594790053781 62.94475359068876 334.1168607604568 230.9620714697399],[175 148 247 162],0.864186108,02너1236,0.9948
462,1,[109.13394148244643 63.947952643633585 334.85163684786994 231.96855041518245],[175 148 247 162],0.860685825,02너1236,0.964
463,1,[109.03858839434078 64.18661123366469 334.9917534001299 232.82735900530423],[175 148 247 162],0.860093772,02너1236,0.9778
464,1,[108.81961387159772 63.880360235402904 334.2099177437325 232.17819362136095],[174 148 246 162],0.861156046,02너1236,0.9815
465,1,[108.74350709336986 63.9571658188043 333.24548665727036 232.04374833194743],[173 148 246 162],0.866642654,02너1236,0.9732
466,1,[108.83807926842486 64.16669079697067 333.111479748222 232.4861728043499],[174 148 245 162],0.86873132,02너1236,0.9733
467,1,[108.95154201443965 63.89651389730618 333.01250702681995 232.14680094228095],[174 148 245 162],0.862599194,02너1236,0.9611
468,1,[109.80883165627469 64.11995518851307 334.12063628848216 232.53018072596655],[176 148 246 162],0.864584684,02너1236,0.9836
469,1,[110.40094307403703 64.74436779342314 334.6804947058805 233.5879627110594],[176 148 247 162],0.862817347,02너1236,0.9885
471,1,[111.43513135390448 64.6554556018062 334.26624315219635 233.38318194597935],[176 148 246 162],0.866654515,02너1236,0.9639
472,1,[112.79696589935277 64.34356652563164 334.56872082933006 233.02622505222504],[176 147 246 162],0.86700803,02너1236,0.9824
473,1,[114.29851543106363 64.58170121978266 334.4768851050792 231.74652682033212],[176 147 246 161],0.86842376,02너1236,0.977
474,1,[115.11824944249015 65.02329899984284 334.66220761987387 231.5776113789256],[176 147 246 161],0.871348619,02너1236,0.9749
475,1,[115.14712768259335 65.26701311448315 334.97790515759647 232.3789564264287],[177 146 246 161],0.872790694,02너1236,0.9856
476,1,[114.61785388163715 64.69064012846643 334.81872077447696 232.6910514839209],[177 146 246 160],0.876439154,02너1236,0.9429
477,1,[114.6471578265045 64.47640705000642 335.0482765077121 232.53152793897857],[177 146 246 160],0.876058757,02너1236,0.9432
478,1,[116.00082513451399 64.71857502129421 336.0294300385685 231.28104996440004],[178 145 246 159],0.854391515,02너1236,0.9832
479,1,[116.8803353175796 64.70376576117509 336.2185220548838 230.26287346316616],[178 145 246 159],0.858793318,02너1236,0.9927
481,1,[117.27264449425017 65.40618811190222 336.71819140251836 230.57450721287353],[178 145 245 159],0.858952105,02너1236,0.989
482,1,[118.07802613470069 66.07261553523453 337.8230586468567 231.71908017379195],[179 145 246 159],0.865737379,02너1236,0.9799
483,1,[119.27095160746028 66.4014470464508 338.8244561211325 231.6399086803122],[180 145 246 159],0.86035347,02너1236,0.9914
485,1,[121.05784219284727 67.0107625368739 339.14469384746013 231.02853430529686],[181 144 246 158],0.857487023,02너1236,0.9953
490,1,[125.06488925767037 66.99075456316179 339.02731693602703 228.97105277422378],[181 143 245 156],0.857366085,02너1236,0.9681
491,1,[125.78743297378378 66.82424188375518 339.175131583006 228.24933944318525],[182 143 246 156],0.857323527,02너1236,0.993
493,1,[128.79561472011744 65.94356637051335 340.25368887572694 225.92178091290788],[184 142 247 155],0.856721401,02너1236,0.9791
494,1,[128.86899768466645 66.01870219736372 339.36856413315917 225.88864168104516],[184 141 247 154],0.856037974,02너1236,0.9646
498,1,[132.0435468784489 65.99792682967703 341.1419717039196 223.91997174090622],[187 139 247 152],0.850435317,02너1236,0.9668
500,1,[134.5840536908553 64.02061470622294 341.6291381838563 221.03297678382017],[189 139 247 151],0.843774974,02너1236,0.9913
753,1,[199.51851743235557 65.26809322748647 357.5295631404882 199.08508142682115],[255 125 307 135],0.803097963,02너1236, 0.9291
754,1,[199.17870510700033 64.69571964408544 357.8742827157758 198.31562052481985],[255 125 306 135],0.805516303,02너1236, 0.9291
788,1,[190.61829612890853 66.88247949439237 369.82558685202736 215.96558990257557],[253 135 313 149],0.842066467,?02너1236, 0.9291
792,1,[189.13217428117093 65.76832088298205 371.7676530204549 216.46155677360895],[253 136 314 149],0.838296354,02너1236,0.9291
820,1,[179.84496140219755 66.36717449404303 384.0318707097963 232.54231301673354],[251 144 320 160],0.853311121,02너1236,0.9436
823,1,[179.8769734460468 66.79981297466395 384.8150600682666 233.57496622913754],[251 146 321 162],0.841089606,02너1236,0.9879
827,1,[179.0766382254393 67.31907846104315 386.6835391472782 235.17111864644284],[251 147 322 163],0.845909595,02너1236,0.976
828,1,[178.9672453505603 67.23730026225736 387.10741841501687 235.90768479775807],[250 148 322 163],0.851091862,02너1236,0.9841
829,1,[178.37375374281766 66.77577173211705 387.07421703450547 236.42556052311488],[250 148 322 163],0.852031648,02너1236,0.9854
830,1,[178.14311228459002 66.1137921142323 387.60666767515437 236.41009727974392],[250 148 322 163],0.854278326,02너1236,0.9923
832,1,[176.57266455066798 65.9718704726043 387.84289798736273 237.10611321201293],[249 148 322 164],0.858646095,02너1236,0.9837
833,1,[176.09807946030196 65.37247113698149 388.5455638751655 237.0675195012798],[249 148 322 164],0.858302057,02너1236,0.9751
834,1,[176.4183803677717 64.98408260331917 389.20103242092745 237.10228043052206],[249 148 323 164],0.864822149,02너1236,0.9908
837,1,[176.36689955330525 65.18430846225122 389.67087853430263 238.48316740898002],[250 148 324 165],0.867280722,02너1236,0.9272
838,1,[175.71215924380303 65.14243030972754 389.68277981414485 238.80042228531175],[249 149 324 165],0.867025971,02너1236,0.9342
839,1,[175.53662516278317 65.06062309682983 390.2649424957108 238.98115855702616],[249 149 324 165],0.867806375,02너1236,0.971
840,1,[174.87610487415984 64.79232284945937 390.42528731124276 238.62835321438524],[249 149 324 165],0.867367625,02너1236,0.9966
841,1,[174.2081937860566 64.70170602348185 390.9018704118528 238.47864942214125],[249 149 324 165],0.865175843,02너1236,0.9911
842,1,[173.43835325319276 64.67490474873308 391.5713501676431 238.37371523459922],[249 149 325 166],0.864908576,02너1236,0.9876
843,1,[172.3065827041583 64.59618479758838 392.0365532255393 239.081998475082],[248 150 325 167],0.864041746,02너1236,0.9872
844,1,[171.87861765903745 64.71957439589139 392.77779934730313 239.94351233059226],[248 151 325 167],0.87062484,02너1236,0.9056
845,1,[171.5877281946937 65.18046802170703 393.2837147924216 241.0658863109757],[249 151 325 168],0.878145635,02너1236,0.9942
846,1,[171.0663744056775 65.23395619381671 393.8872610868133 241.60622775467743],[248 152 325 168],0.877776146,02너1236,0.9812
848,1,[169.88340118289483 64.7093406870765 395.45615688064066 242.77381331068614],[247 152 326 169],0.872946382,02너1236,0.978
849,1,[169.1967129824996 63.71312466461744 395.8480547079476 242.8087416440518],[247 152 327 169],0.869005382,02너1236,0.9771
850,1,[168.61848176191006 63.137991054599226 396.38383600108966 242.98094429311118],[246 153 327 170],0.867134571,02너1236,0.977
851,1,[167.65829343635767 62.442487929675636 396.6855773207907 242.95648612682675],[247 153 327 170],0.865265846,02너1236,0.9608
852,1,[167.24583987361615 61.988316957490994 397.4121758103759 243.055865111603],[247 152 327 170],0.86442548,02너1236,0.9911
853,1,[166.9903349721364 61.54593262808662 397.9647550606731 243.44866465115717],[247 153 328 170],0.865364373,02너1236,0.9914
854,1,[166.52522817123787 61.12137041166429 398.47260892573155 243.86809423738057],[247 153 328 171],0.864714265,02너1236,0.9488
855,1,[166.07413522715035 60.24608294002836 398.92918549300964 243.4384487873649],[247 152 329 171],0.863887429,02너1236,0.9863
856,1,[165.5579363052721 59.51628735597856 399.4455293016667 243.49252266675765],[247 153 329 171],0.861080229,02너1236,0.9681
857,1,[165.27498307948684 59.067150127524826 400.38093712528297 243.85891764896428],[247 153 329 171],0.862899184,02너1236,0.9943
858,1,[165.211943375102 59.04200296976349 401.43509296181935 244.5385523170185],[247 154 330 171],0.866152763,02너1236,0.9816
859,1,[164.73187048334842 59.118900308204545 402.2954696721322 245.46471505174566],[247 155 330 172],0.866918623,02너1236,0.9905
860,1,[164.39127087127036 58.80120074978922 403.3305988828842 245.52102669730985],[247 155 331 172],0.868688643,02너1236,0.9735
861,1,[163.82162606276393 58.847324191243644 404.2332140835948 245.840224282145],[247 155 332 173],0.864301264,02너1236,0.9952
862,1,[162.59039514935978 58.55265556496687 404.1900801219483 246.4335457391116],[247 156 332 173],0.868057549,02너1236,0.9954
863,1,[162.12003233956682 58.98051492342954 404.6264839415147 248.0027194174391],[247 156 332 174],0.867778659,02너1236,0.9904
864,1,[162.0907907236566 59.27615145743205 405.55011596243503 249.3768562123925],[247 156 332 174],0.864286005,02너1236,0.9946
865,1,[162.1132685054143 58.65782786449641 406.5502203320316 249.8033096994419],[247 156 333 175],0.867610812,02너1236,0.9889
866,1,[162.1377966887633 58.13093420035513 407.5602064570928 250.0293575941762],[248 157 334 175],0.869237602,02너1236,0.9951
867,1,[162.15367809696193 58.28096196343337 408.57491854153534 251.12416777027005],[248 157 335 176],0.865107834,02너1236,0.9881
868,1,[161.97698022542255 58.160002599196574 409.12401348946383 251.89969340425716],[248 157 336 176],0.865396976,02너1236,0.9961
869,1,[161.5275978843491 58.14634474618042 409.60256465787893 252.6358865615212],[248 158 336 177],0.866946101,02너1236,0.9915
870,1,[161.263262710591 58.20070484755571 410.50318212435184 253.56147449398924],[248 158 336 177],0.872990191,02너1236,0.9908
871,1,[161.01413091381755 58.242692346669884 411.0713502828621 254.53354700934412],[248 158 336 177],0.878102601,02너1236,0.9798
872,1,[160.34987791195732 58.07902935194306 411.1077790095538 255.06022029182571],[248 158 336 177],0.879786909,02너1236,0.9938
873,1,[160.08333713118537 57.71899482198009 411.6744891265301 254.78937952295811],[248 159 337 177],0.880198181,02너1236,0.9955
874,1,[159.44207137351984 57.80542704821552 411.94267718021536 254.9948761899737],[248 159 337 177],0.879790306,02너1236,0.9947
875,1,[158.48227877332138 58.00080500188788 411.9386848287197 255.72478458864998],[247 159 337 178],0.873110831,02너1236,0.984
876,1,[157.81206240417293 57.88328687062727 412.1826018143772 256.22974441724443],[247 159 337 178],0.875438392,02너1236,0.9852
877,1,[157.86293145568362 57.13942649237846 412.7681139677757 255.66460428750412],[247 160 337 178],0.875544429,02너1236,0.978
878,1,[157.32959805787192 56.93534396514835 412.98853897421594 255.82690019157698],[248 159 338 178],0.878852904,02너1236,0.9963
879,1,[157.07520829662752 56.858464985415154 413.6026803105943 256.141810311524],[247 160 338 179],0.879858971,02너1236,0.9969
880,1,[156.89603669944128 56.96095341444088 414.0813335606257 256.72091947433915],[247 160 338 180],0.880742311,02너1236,0.9947
881,1,[156.27811398868045 57.09476086583206 414.0858594845308 257.5777090230488],[246 160 338 180],0.879779518,02너1236,0.988
882,1,[156.03482489231578 57.1814418486144 414.64559813162725 258.5202963405683],[246 160 338 180],0.880670846,02너1236,0.9892
883,1,[156.06343839880088 56.854151215332024 415.5638332781526 258.57101865454456],[246 160 339 180],0.882466555,02너1236,0.9892
884,1,[155.9195626347531 56.89284531771055 416.0857500218332 258.87983739409896],[247 160 339 180],0.880117655,02너1236,0.9965
885,1,[155.95732319826377 56.86477771512395 416.74566594727173 259.19119760805506],[247 161 339 180],0.880780518,02너1236,0.9965
886,1,[155.39869353256321 56.97793771571044 416.9876007412528 259.7564393850026],[246 161 339 180],0.87928313,02너1236,0.9916
887,1,[154.93421205755288 57.11479725841515 417.147822417874 260.6016415942462],[246 161 339 180],0.87356025,02너1236,0.9938
888,1,[154.28325660986957 57.01254660037726 417.09642740812296 261.0723321225041],[246 162 339 181],0.874589741,02너1236,0.9957
889,1,[154.0407737359135 57.06634509651447 417.64220867913764 261.7027026076206],[246 162 340 181],0.877033412,02너1236,0.9965
890,1,[153.87768304536874 56.5147949470866 418.097191850011 261.925676756104],[246 162 340 181],0.877109349,02너1236,0.9964
891,1,[153.92576175538838 56.70657324717496 418.7411400331681 262.7257479835172],[246 162 340 182],0.874572635,02너1236,0.9937
892,1,[153.84242204842596 56.85705793671576 419.1656815850025 263.19514209613374],[246 162 341 182],0.877740145,02너1236,0.995
893,1,[153.26798162126397 56.807624412326774 419.1269785972951 263.3111221386046],[246 163 341 182],0.877911806,02너1236,0.9955
894,1,[152.85888528452426 56.760854494107164 419.1947697045356 263.3474726177891],[246 163 341 182],0.876918793,02너1236,0.9957
895,1,[152.70912666592815 56.92261686224792 419.2950971830172 263.8206146555122],[245 164 341 184],0.879417241,02너1236,0.993
896,1,[152.17334053600982 56.629721030374796 419.1712996982252 264.4359843890411],[245 164 341 184],0.877113581,02너1236,0.9955
897,1,[151.5227736616585 56.20145757047605 419.48278004725756 264.8928825241269],[245 164 341 184],0.877585828,02너1236,0.9952
898,1,[151.0509705526882 55.96189465463448 419.9128861140796 265.12124910766653],[245 164 341 184],0.87833786,02너1236,0.9917
899,1,[151.0027326003884 56.02192739295582 420.6146884130791 265.6999365046501],[245 164 341 184],0.879656076,02너1236,0.9939
900,1,[150.87825594572746 55.94965903898911 421.08341606277725 266.0984552348408],[245 164 342 184],0.87658304,02너1236,0.9918
901,1,[150.46938391391345 55.56687902634158 421.5396947258886 266.51305543631645],[245 164 342 185],0.879330277,02너1236,0.9964
902,1,[150.23536053253275 55.61475997490359 422.4309929322447 267.1095731312681],[246 164 343 185],0.876120985,02너1236,0.9901
903,1,[150.47155879544533 55.92553761434051 423.1848716968073 267.7783215331793],[246 164 344 185],0.872318149,02너1236,0.9962
904,1,[150.81304803985677 56.10771775005881 423.8750779785587 268.61920381368213],[246 165 345 186],0.868068993,02너1236,0.9957
905,1,[150.3469566992526 56.20888193018776 424.06700636018024 269.5427649238334],[247 166 344 186],0.879980266,02너1236,0.9959
906,1,[150.1131443099738 56.07510689619318 424.6503609271467 270.04465219361913],[246 166 344 186],0.880411565,02너1236,0.992
907,1,[149.47400976273605 55.64631090830025 424.92148199198493 270.49918799540706],[246 165 345 186],0.877231777,02너1236,0.9971
908,1,[149.3541028523562 56.042828171184155 425.47033941007805 271.40014712256374],[246 166 345 187],0.879887462,02너1236,0.9951
909,1,[149.3781358658371 55.636572754597694 426.25847991734304 271.636497659699],[246 166 345 187],0.877968132,02너1236,0.996
910,1,[149.2553435509874 55.82953857481732 426.68452317999765 272.02145949139395],[246 166 346 188],0.879584789,02너1236,0.9953
911,1,[148.83174721232334 56.24094423128402 427.21689752025884 273.1253368856706],[246 167 347 189],0.877511978,02너1236,0.9904
912,1,[148.03910520521524 56.26990586939844 427.39144746962995 273.65954778659517],[246 167 347 189],0.879359186,02너1236,0.9943
913,1,[148.22313802552222 56.65091710355125 428.2735082349702 274.1311023596707],[246 168 347 190],0.88221699,02너1236,0.992
914,1,[147.70395079944907 56.96113264872871 428.53933329996516 274.7825644579544],[246 169 347 191],0.88576299,02너1236,0.9943
915,1,[147.36782096287763 57.01241717280304 428.7732085860737 275.0801044968766],[246 168 347 192],0.885748804,02너1236,0.9946
916,1,[146.86554611737563 56.979017517310865 429.2316906752101 275.22910461015107],[246 169 348 192],0.885930479,02너1236,0.9962
917,1,[146.69311171174698 57.115310129799624 430.036174927002 275.7736431299117],[246 169 349 192],0.885583639,02너1236,0.9964
918,1,[146.645461300824 57.08796588370832 430.97208488617196 276.04379434577197],[246 169 349 193],0.887075961,02너1236,0.9966
919,1,[145.99002254920708 57.01786764931886 431.3053265706874 276.19039079890433],[245 170 349 193],0.884503663,02너1236,0.9953
920,1,[145.75562756339875 56.946111543051316 432.0634876190377 276.27642543102246],[246 170 350 193],0.887838781,02너1236,0.9959
921,1,[145.67544430494652 57.26257153833767 432.9890615661526 277.25776130213654],[246 171 350 194],0.888657212,02너1236,0.9926
922,1,[145.00377875234327 57.25948582567894 433.32088715162956 277.7394710863548],[245 171 350 194],0.891551852,02너1236,0.9956
923,1,[144.75431284742618 57.544697217612395 434.0862695768642 278.9263658521457],[245 172 350 195],0.884882092,02너1236,0.9901
924,1,[144.48105773720079 57.48853642529188 434.54795165318706 279.5245431467633],[245 173 350 196],0.884207726,02너1236,0.9958
925,1,[143.7834986926291 57.343295377551485 434.6562155066473 279.85710690061563],[246 173 350 196],0.88272649,02너1236,0.9947
926,1,[143.5595850166058 57.57475722301493 435.3027011764112 280.98479548509874],[245 173 351 196],0.881077468,02너1236,0.9971
927,1,[143.32220794159923 57.49812431116338 435.6948338016301 281.5590336321618],[246 173 351 196],0.878884017,02너1236,0.9959
928,1,[143.1180263305976 57.53665634837371 435.95171552895647 282.34279100834283],[245 174 351 196],0.880112171,02너1236,0.9943
929,1,[142.68553313516372 57.40861700920169 436.39838856514837 282.76328684092624],[246 175 352 197],0.879957914,02너1236,0.9912
930,1,[142.36047767487872 57.635625259718296 436.7234210547834 283.93359186829707],[245 175 352 198],0.884529889,02너1236,0.9902
931,1,[142.3134261395374 58.198833991546735 437.41849737015565 285.18661276230387],[245 176 353 200],0.887444079,02너1236,0.9942
932,1,[142.34829918347486 58.65997332079104 438.27727223892396 286.69790314698173],[246 176 354 201],0.8863675,02너1236,0.9972
933,1,[142.25124445557174 59.13625898838269 439.47723944468646 288.49581217456983],[246 177 354 202],0.885020196,02너1236,0.9971
934,1,[141.53762811509827 59.347780314223996 439.9190043410357 289.6805650253036],[246 178 354 202],0.884266913,02너1236,0.9964
935,1,[141.1694666352125 59.17603368079223 440.6303626657457 290.22221539266445],[245 178 354 203],0.880427539,02너1236,0.9972
936,1,[140.650973325962 59.16768639978841 441.4274147795345 290.86626251189995],[245 179 355 204],0.88263911,02너1236,0.9961
937,1,[140.30295137905594 59.223873052947496 442.4497892250822 291.7404917342442],[245 180 356 204],0.878636777,02너1236,0.9974
938,1,[140.19506558567198 59.07063252770111 443.5363985085165 292.21746631449525],[246 180 356 204],0.880627394,02너1236,0.9964
939,1,[140.15283719003597 59.09181010447888 444.5973074724625 292.84352748878047],[246 180 356 204],0.880655468,02너1236,0.9962
940,1,[139.01804424074894 59.16815323847102 444.7937676513294 293.714297552706],[245 180 356 205],0.877296865,02너1236,0.9966
941,1,[138.3266348336282 59.406910769078934 445.48682068005667 295.11995088415114],[245 181 357 206],0.880973101,02너1236,0.9922
942,1,[138.16642367681743 58.77748676875589 446.53531855112124 295.78018828640904],[245 181 358 207],0.884545565,02너1236,0.9967
943,1,[137.46655008498487 58.84498898623498 446.9416453111486 296.72962168709836],[245 182 358 208],0.884902477,02너1236,0.9967
944,1,[136.6496480851886 59.10093163248773 447.45367536680556 297.72746597143885],[245 183 358 208],0.88672477,02너1236,0.9963
945,1,[136.26126094782532 58.5336714038654 448.44228382854396 298.0255340949751],[245 184 359 209],0.886277914,02너1236,0.9968
946,1,[136.338338359156 58.231267408298095 449.99561451098435 298.65553246488105],[245 184 360 209],0.885299146,02너1236,0.996
947,1,[135.83004194303825 58.20453150749594 451.2159589702371 299.59842264345207],[245 185 361 210],0.887296081,02너1236,0.9957
948,1,[134.2849433923259 58.21008979274619 451.53371569174385 300.5929123316052],[244 186 361 211],0.886607707,02너1236,0.997
949,1,[132.78464808461493 58.21735925822139 451.69383717707797 301.59578639672566],[244 186 361 212],0.887681127,02너1236,0.9965
950,1,[132.21640881706142 58.03396344474905 452.4732269404958 302.13599177363506],[244 186 362 212],0.888801396,02너1236,0.9967
951,1,[132.08813860411854 58.23157776947885 453.53423491417914 303.2609142794978],[244 186 362 213],0.885976672,02너1236,0.9962
952,1,[131.77708960969807 58.29884585003245 454.8753610485863 304.4969830648033],[244 187 363 213],0.886587858,02너1236,0.9971
953,1,[131.41897673012835 57.81284183862293 456.2706043200921 305.37779294746093],[244 187 363 214],0.881312668,02너1236,0.9966
954,1,[130.76995838716186 57.449196681297025 457.29886346198884 306.4123654103324],[244 188 364 214],0.877430081,02너1236,0.9953
955,1,[129.68391262644565 57.13371239709409 457.7669212240011 307.03629288524263],[244 188 363 215],0.87766391,02너1236,0.9961
956,1,[129.18884119764894 57.08165544573646 458.5644057010487 307.7520791877521],[244 189 364 215],0.884517014,02너1236,0.9954
957,1,[129.0744633814168 57.31559124004173 459.6126371356403 309.13598975487776],[245 189 365 215],0.886476934,02너1236,0.9946
958,1,[128.5765094041741 56.693438172725436 460.47777973661505 309.7974432056726],[245 189 366 216],0.891105711,02너1236,0.9967
